title,price_gbp,price_inr,rating,in_stock,category
It's Only the Himalayas,45.17,4765.435,2,True,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.865,4,True,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.785,3,True,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.1699999999996,2,True,Travel
Under the Tuscan Sun,37.33,3938.3149999999996,3,True,Travel
A Summer In Europe,44.34,4677.870000000001,2,True,Travel
The Great Railway Bazaar,30.54,3221.97,1,True,Travel
A Year in Provence (Provence #1),56.88,6000.84,4,True,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.655,1,True,Travel
Neither Here nor There: Travels in Europe,38.95,4109.225,3,True,Travel
"1,000 Places to See Before You Die",26.08,2751.4399999999996,5,True,Travel
Sharp Objects,47.82,5045.01,4,True,Mystery
"In a Dark, Dark Wood",19.63,2070.9649999999997,1,True,Mystery
The Past Never Ends,56.5,5960.75,4,True,Mystery
A Murder in Time,16.64,1755.52,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,True,Mystery
The Last Mile (Amos Decker #2),54.21,5719.155,2,True,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.7949999999998,1,True,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.925,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.015,2,True,Mystery
Poisonous (Max Revere Novels #3),26.8,2827.4,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,True,Mystery
Most Wanted,35.28,3722.04,3,True,Mystery
Hide Away (Eve Duncan #20),11.84,1249.12,1,True,Mystery
Boar Island (Anna Pigeon #19),59.48,6275.139999999999,3,True,Mystery
The Widow,27.26,2875.9300000000003,2,True,Mystery
Playing with Fire,13.71,1446.4050000000002,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.5350000000003,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.895,4,True,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,True,Mystery
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,True,Mystery
The Silkworm (Cormoran Strike #2),23.05,2431.775,5,True,Mystery
The Exiled,43.45,4583.975,3,True,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.6550000000002,1,True,Mystery
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,True,Mystery
Career of Evil (Cormoran Strike #3),24.72,2607.96,2,True,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,True,Mystery
The Girl You Lost,12.29,1296.5949999999998,5,True,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,1672.175,3,True,Mystery
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,True,Mystery
1st to Die (Women's Murder Club #1),53.98,5694.889999999999,1,True,Mystery
Tipping the Velvet,53.74,5669.570000000001,1,True,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.295,3,True,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,5858.415,5,True,Historical Fiction
The House by the Lake,36.95,3898.2250000000004,1,True,Historical Fiction
Mrs. Houdini,30.25,3191.375,5,True,Historical Fiction
The Marriage of Opposites,28.08,2962.4399999999996,4,True,Historical Fiction
